"attributes.acceleration","attributes.sprintspeed","attributes.agility","attributes.balance","attributes.jumping","attributes.stamina","attributes.strength","attributes.reactions","attributes.aggression","attributes.composure","attributes.interceptions","attributes.positioning","attributes.vision","attributes.ballcontrol","attributes.crossing","attributes.dribbling","attributes.finishing","attributes.freekickaccuracy","attributes.headingaccuracy","attributes.longpassing","attributes.shortpassing","attributes.marking","attributes.shotpower","attributes.longshots","attributes.standingtackle","attributes.slidingtackle","attributes.volleys","attributes.curve","attributes.penalties","attributes.gkdiving","attributes.gkhandling","attributes.gkkicking","attributes.gkreflexes","attributes.gkpositioning","stats.attack","stats.defending","stats.skill","stats.power","stats.movement","stats.mentality","stats.goalkeeper","info.contract.jointeamdate","info.contract.enddate","info.contract.isloanedout","info.nation.id","info.nation.name","info.name.firstname","info.name.lastname","info.name.playerjerseyname","info.name.knownas","info.name.firstnameid","info.name.lastnameid","info.name.playerjerseynameid","info.playerid","info.total_attributes","info.overallrating","info.potential","info.birthdate","info.age","info.teams.club_team.id","info.teams.club_team.name","info.teams.club_team.leagueid","info.teams.club_team.domesticprestige","info.teams.club_team.profitability","info.teams.club_team.slug","info.teams.club_team.jerseynumber","info.league","info.headshot","info.haircolor","info.eyecolor","info.skintone","info.headtype","info.bodytype","info.preferredfoot","info.skillmoves","info.weafoot","info.internationalrep","info.ovrmodifier","info.release_clause","info.height","info.weight","info.gender","info.defensiveworkrate","info.attackingworkrate","info.real_face","info.isretiring","info.valueUSD","info.valueEUR","info.valueGBP","info.wageUSD","info.wageEUR","info.wageGBP","info.traits.trait1","info.traits.trait2","card_attrs.pac","card_attrs.sho","card_attrs.pas","card_attrs.dri","card_attrs.def","card_attrs.phy","primary_position","other_positions","updated","added","removed","slug","real_ovrs.0","real_ovrs.1","real_ovrs.2","real_ovrs.3","real_ovrs.4","real_ovrs.5","real_ovrs.6","real_ovrs.7","real_ovrs.8","real_ovrs.9","real_ovrs.10"
42,52,63,45,68,38,70,88,23,66,15,13,54,23,14,13,14,20,13,35,33,20,57,17,18,16,12,19,27,86,89,76,90,88,"18","18","22","50","58","33","86","2018-08-09","2027-06-01",0,7,"Belgium","Thibaut","Courtois","Courtois","Thibaut Courtois",36190,7858,7858,192119,1417,90,90,"1992-05-11T00:00:00.000Z",33,243,"Real Madrid",53,10,7,"real-madrid",1,53,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p192119.png",3,3,2,30,13,"Left",1,3,5,2,68700000,200,96,"Male",,,"Yes","No",45500000,39000000,33500000,280000,240000,210000,"","GK Far Throw, GK Rush Out","47","23","29","50","16","50","GK","-",true,false,false,"thibaut-courtois",87,29,29,29,31,31,34,33,32,30,31
63,65,67,72,87,76,87,94,82,92,42,95,86,87,80,80,96,69,90,82,86,46,92,90,44,42,90,82,94,8,10,11,11,14,"89","44","80","87","73","82","11","2023-08-12","2027-06-01",0,14,"England","Harry","Kane","Kane","Harry Kane",14769,18800,18800,202126,2312,90,90,"1993-07-28T00:00:00.000Z",31,21,"Bayern München",19,10,3,"bayern-munchen",9,19,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p202126.png",5,2,3,1,368,"Right",3,4,5,1,,188,86,"Male",,,"Yes","No",119000000,101000000,87000000,200000,170000,145000,"Precision Header, Low Driven Shot, Gamechanger, Long Ball Pass, First Touch","","64","93","81","82","53","83","ST","-",true,false,false,"harry-kane",19,66,63,63,68,82,81,85,86,83,88
87,86,86,91,79,85,75,88,63,89,55,89,89,87,86,87,89,69,59,81,86,38,83,78,43,41,83,88,88,14,14,9,14,11,"81","41","83","80","88","79","13","2017-07-01","2027-06-01",0,111,"Egypt","Mohamed","Salah","M.Salah","Mohamed Salah",25486,32410,22736,209331,2310,89,89,"1992-06-15T00:00:00.000Z",33,9,"Liverpool",13,10,6,"liverpool",11,13,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p209331.png",0,9,3,1512,25,"Left",4,3,5,2,,175,72,"Male",,,"Yes","No",76000000,64000000,55000000,300000,260000,220000,"Low Driven Shot, Gamechanger, Whipped Pass, Inventive, Technical, First Touch","Career One Club Player","87","85","83","88","47","76","RM","RW",true,false,false,"mohamed-salah",21,70,66,57,68,86,82,86,86,86,83
84,80,88,88,91,86,80,92,87,88,46,93,79,84,68,81,93,65,86,72,78,45,87,80,50,45,92,84,74,11,8,8,13,8,"84","47","78","85","87","78","10","2018-07-04","2029-06-01",0,52,"Argentina","Lautaro","Martínez","Lautaro","Lautaro Martínez",21084,23950,21084,231478,2314,88,88,"1997-08-22T00:00:00.000Z",27,131682,"Lombardia FC",31,9,2,"lombardia-fc",10,31,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p231478.png",21,9,4,1523,393,"Right",4,4,5,1,,174,72,"Male",,,"Yes","No",117000000,99000000,85000000,93000,79000,68000,"Power Shot, Precision Header, Incisive Pass, Technical, Relentless, Enforcer","","82","87","74","87","54","86","ST","-",true,false,false,"lautaro-martinez",18,67,65,64,67,82,78,83,85,83,87
97,96,93,82,90,83,77,91,61,88,38,91,83,93,78,92,94,69,78,74,87,26,91,86,34,32,87,80,84,13,5,7,6,11,"85","31","82","86","92","75","9","2024-07-01","2029-06-01",0,18,"France","Kylian","Mbappé","Mbappé","Kylian Mbappé",20546,24412,24412,231747,2297,91,92,"1998-12-20T00:00:00.000Z",26,243,"Real Madrid",53,10,7,"real-madrid",10,53,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p231747.png",0,9,7,1016,343,"Right",5,4,5,1,368700000,182,81,"Male",,,"Yes","No",185000000,157000000,135000000,720000,610000,530000,"Finesse Shot, Acrobatic, Low Driven Shot, Gamechanger, Rapid, First Touch","Career One Club Player","97","89","79","90","42","78","ST","LW | LM",true,false,false,"kylian-mbappe",17,67,63,54,63,88,81,89,90,90,89
90,91,88,83,83,91,67,87,79,85,56,89,87,88,86,88,87,84,74,80,85,49,84,84,54,38,76,85,80,8,7,13,14,8,"82","47","85","82","88","80","10","2022-07-13","2028-06-01",0,54,"Brazil","Raphael","Dias Belloli","Raphinha","Raphinha",30799,9217,30804,233419,2348,89,89,"1996-12-14T00:00:00.000Z",28,241,"FC Barcelona",53,10,2,"fc-barcelona",11,53,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p233419.png",0,3,6,1002,1,"Left",4,4,4,1,213200000,176,68,"Male",,,"Yes","No",122500000,104000000,89500000,250000,220000,185000,"Finesse Shot, Power Shot, Trickster, Quick Step, Relentless","","91","83","85","87","54","80","LW","LM | CAM",true,false,false,"raphael-dias-belloli",17,73,69,63,70,87,83,86,87,87,84
95,94,94,84,74,84,65,85,58,83,26,86,85,90,81,93,87,62,50,77,83,32,81,83,25,18,73,79,74,5,7,7,10,7,"75","25","81","78","91","69","8","2018-07-12","2027-06-01",0,54,"Brazil","Vinícius José","de Oliveira Júnior","Vini Jr.","Vini Jr.",38072,40602,38056,238794,2137,89,92,"2000-07-12T00:00:00.000Z",24,243,"Real Madrid",53,10,7,"real-madrid",7,53,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p238794.png",0,9,9,1000,1,"Right",5,4,5,1,299600000,176,73,"Male",,,"Yes","No",166000000,141000000,121000000,370000,320000,270000,"Finesse Shot, Chip Shot, Gamechanger, Inventive, Rapid, First Touch","","95","81","78","88","30","70","LW","ST | LM",true,false,false,"vinicius-jose-de-oliveira-junior",15,62,57,45,58,87,78,87,87,88,82
76,66,80,79,80,91,77,87,86,83,88,68,80,83,65,79,59,55,70,84,86,84,80,78,87,88,60,75,55,15,6,13,13,9,"68","87","76","82","78","77","12","2023-08-14","2031-06-01",0,57,"Ecuador","Moisés","Caicedo","Caicedo","Moisés Caicedo",25518,6062,6062,256079,2285,88,90,"2001-11-02T00:00:00.000Z",23,5,"Chelsea",13,8,10,"chelsea",25,13,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p256079.png",0,9,10,1037,2,"Right",3,3,4,2,183700000,178,73,"Male",,,"Yes","No",126000000,107000000,92000000,0,0,0,"Pinged Pass, Tiki Taka, Intercept, Anticipate, Press Proven, Relentless","Career One Club Player, Career Injury Prone","71","67","74","82","83","84","CDM","CM",true,false,false,"moises-caicedo",19,82,82,83,85,77,82,78,76,75,73
88,84,94,83,64,73,60,88,45,84,18,88,88,90,89,92,83,69,33,84,88,23,83,86,27,28,70,89,75,9,13,7,7,10,"73","26","85","74","88","67","10","2022-07-01","2031-06-01",0,45,"Spain","Lamine Yamal","Nasraoui Ebana","Lamine Yamal","Lamine Yamal",20874,26627,20874,277643,2112,89,95,"2007-07-13T00:00:00.000Z",17,241,"FC Barcelona",53,10,2,"fc-barcelona",10,53,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p277643.png",15,9,7,1028,1,"Left",5,3,5,1,,180,72,"Male",,,"Yes","No",173500000,147000000,126500000,135000,115000,98000,"Finesse Shot, Gamechanger, Incisive Pass, Inventive, First Touch, Quick Step","","86","81","85","89","26","61","RW","RM",true,false,false,"lamine-yamal-nasraoui-ebana",18,62,55,41,57,87,80,88,86,88,79
75,70,83,84,77,92,69,89,89,87,85,78,86,86,92,82,68,79,72,92,89,82,78,83,86,85,69,85,71,8,15,7,15,15,"78","85","85","80","81","83","12","2015-07-01","2029-06-01",0,21,"Germany","Joshua","Kimmich","Kimmich","Joshua Kimmich",17974,19642,19642,212622,2423,89,89,"1995-02-08T00:00:00.000Z",30,21,"Bayern München",19,10,3,"bayern-munchen",6,19,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/26/heads/p212622.png",5,2,3,20,2,"Right",3,4,5,2,,177,75,"Male",,,"Yes","No",102000000,86000000,74000000,165000,140000,120000,"Finesse Shot, Whipped Pass, Anticipate, Press Proven, Relentless","","73","75","87","85","82","82","CDM","RB | CM",false,false,false,"joshua-kimmich",21,85,84,82,86,83,86,83,80,81,77
